id,saleprice
2658,149114.1945033195
2718,159636.09073599172
2414,217003.4230957222
1989,105841.19787358171
625,161545.64756165576
333,64985.74156386661
1327,93440.57546353481
858,136528.99695625558
95,187104.17129425827
1568,155916.996091931
2482,154302.41710147023
1364,120077.60187862314
2584,161532.60995902854
818,266937.3276991659
2673,173975.06243617294
2089,115424.62724035411
1297,147966.18385774505
790,125687.43141224564
2616,177327.91159561722
720,213632.56752723956
222,147264.91369971525
557,132710.0352938876
1148,187313.8239624025
2766,188111.3338538681
534,194257.57894203268
1452,119522.61028650543
630,150534.38372966845
2648,119381.940925655
125,162705.7476345739
1904,35262.61954819855
1670,97855.42513250699
756,96050.95914527093
717,257300.4898605514
1032,167902.53789222668
852,211443.89310125046
1731,156142.98312320444
2639,113770.50412334986
2071,79466.73590136072
1267,113071.458534281
1851,202246.47272983057
567,139079.09412070797
2439,210873.0087413312
1898,153065.4958066673
647,166885.15514209255
2256,214587.12485473359
979,79868.44887252859
1444,226165.57997319632
2485,119562.60654807705
157,126665.06716646226
88,123802.25757992711
2003,111013.55725680948
186,249606.99701528886
1425,245305.128757935
2695,133128.4631748898
738,112711.05274906395
395,146938.73454828188
1353,182910.2136736252
1878,146709.31248796784
390,159786.71727150586
1456,245783.25080578015
1103,314997.86443611386
1387,150022.66525652818
2070,146815.45628787423
1199,178761.38598408765
2479,168644.10639701915
501,285375.3330858453
2362,89338.4980724591
1718,205962.2011987032
2188,84779.98194012055
1483,161191.3644779165
2557,74835.30486421206
437,353310.5668702506
2224,195278.85473056822
1628,172466.42055302561
397,137516.4763524884
587,187617.92465280643
2182,562919.8328099076
971,146704.16013462126
2611,152581.64676717969
1887,73522.02435331824
2399,407577.327720716
2148,198787.64397376936
304,124516.79021903609
1997,116478.56181852029
2817,134317.11727574473
1431,186646.8799628661
427,331931.20685635414
263,121582.90145543267
598,191152.17993804484
2895,249286.86862504188
687,147101.09320365172
1822,132982.8935824213
2191,122280.13717232476
179,122087.0784069718
1009,208978.40405563798
2010,127632.98482678908
1991,141129.10682421946
1411,170874.9799241544
1721,235430.07610260876
1144,189929.78290667257
593,236209.35892473953
575,332077.7245873877
1249,168333.29811918057
1604,109312.39976721787
1064,469387.61736420204
1923,163600.59941307304
1988,81350.84715581109
2325,155910.46413633035
114,205705.09110593036
2700,173862.00046881117
217,152700.08044142544
343,181409.70567205196
386,242370.14776376775
2005,101799.39096680547
2908,140140.08227291808
1814,260494.02799338716
2446,489594.0349639864
208,158195.92306129276
1679,87517.66084147738
822,357701.86489237915
6,175352.45249840722
1781,433675.3135919399
2397,296560.6762530169
2340,304521.23639951344
1618,168700.83630429223
2843,125602.68521807855
1061,373456.11322450364
2786,135078.34921680082
1935,136019.58531486295
1341,107460.96609748135
521,274621.3481133664
2136,125589.5177823615
996,194952.09238045587
227,142838.2616545825
135,179538.9832729115
1167,141503.43440816097
294,236153.3095012211
1776,202071.9298704586
540,192916.90855102456
1717,202380.11600363042
2303,116812.73804603801
116,184917.66763393983
127,141884.41543283698
1371,149842.0727288623
1014,188817.10318533005
1507,78373.78844616753
702,148257.68727405998
750,148917.52582553576
261,142862.2414927504
1559,81665.15193847849
577,213696.30809916835
2812,210870.13670915068
2080,171990.05724176552
1368,115746.49967829628
2376,126335.44157692265
659,96855.39282935378
1235,126531.22095435463
332,61529.24252951176
1917,142893.7160077063
2094,238269.27431537854
1460,273688.5996797684
1471,209596.8123927749
1509,139687.38683869626
1922,137199.8140420859
433,463322.34669205657
460,321637.8460723268
1116,210235.32261488822
1137,175589.97999859543
53,171438.12222133117
2354,253147.5945156815
1475,200818.14109821653
1761,511795.49361474934
842,144829.00932236144
2739,182667.84471866378
2509,147532.8845878152
1007,220228.36638750666
2610,171162.10684336087
1952,72309.43689134391
2719,161149.42086281924
2921,64079.531511324996
1966,148092.03630338536
292,132663.9519798485
1204,198619.69810573774
1829,259355.5432301971
2419,190078.55509754777
391,147032.099283698
798,125214.86187036139
481,202697.00210496498
193,202466.65374480817
555,121214.79262700999
899,58586.40372851695
