overall_qual,exter_qual,exter_cond,bsmt_qual,fireplace_qu,heating_qc,lot_frontage,lot_area,overall_cond,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,full_bath,bedroom_abvgr,totrms_abvgrd,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,built_after_1974,remod_after_1993,bsmt_full_bath,bsmt_half_bath,garage_after_1978,sold_after_2008,fireplaces,bsmt_exposure,ms_zoning,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,roof_style,roof_matl,mas_vnr_type,heating,central_air,electrical,functional,garage_type,garage_finish,paved_drive,fence,misc_feature,sale_type,foundation_CBlock,foundation_PConc,neighborhood_CollgCr,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_NAmes,neighborhood_NWAmes,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Plywood,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_2nd_HdBoard,exterior_2nd_MetalSd,exterior_2nd_Plywood,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,saleprice,id
-0.07864410289348696,1.0102726013965506,-0.23024266611095967,-0.5435940520335439,-0.9761413325783859,0.8730787164479374,-0.05373914678861188,0.512071084285544,2.207728229656243,1.0923289369928373,0.19717760806183254,-0.29065321142560613,-0.8438736408093462,-0.7391578798616578,-1.108837545943735,0.9978937064980367,-0.10797703168802328,-0.040633687751969454,0.7697788728052137,0.1893826733048602,-0.27944126600100755,0.2931123312711481,0.007215947981191958,-0.7301209610710309,-0.05330061440404812,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,1,1,0.0,0.0,0,1,0,1.0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,130500,109
0.6226561363871311,1.0102726013965506,-0.23024266611095967,0.5657705257980968,0.6844054242241598,0.8730787164479374,-1.1645937130397988,0.21166364284817374,-0.5091021297587294,0.1914910346062622,0.4227337252837599,-0.29065321142560613,-0.6550732544281878,-0.32119276975739497,-0.6345096172276932,2.0670548963631346,-0.10797703168802328,1.2445288652250557,0.7697788728052137,1.3994258600595888,1.0027377867239724,0.2931123312711481,0.3959565302174924,-0.7301209610710309,0.3962657741197462,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,1,1,1.0,0.0,1,1,1,1.0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,220000,544
-0.7799443421741051,-0.6909335607252274,2.4528693122616403,-0.5435940520335439,-0.9761413325783859,-1.2018742933257818,-0.05373914678861188,-0.31794355020437537,1.302118109851252,-0.565901341922578,0.6266017543112712,-0.29065321142560613,-0.5426920720584507,-0.001049281166895787,-0.2711946079983846,-0.7738591224212686,-0.10797703168802328,-0.8840840724429563,-1.0512320477524484,0.1893826733048602,-0.9205307923634976,-1.0137863457660792,-1.052564925020151,-0.7301209610710309,0.0665837558689637,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,0,1,1.0,0.0,0,1,0,1.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,109000,153
-0.7799443421741051,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,-0.9761413325783859,-0.16439778843892222,0.1684317664616255,-0.03904676506745874,-0.5091021297587294,-0.565901341922578,-0.9587974927005453,-0.29065321142560613,-0.4123299005095556,-1.497275446593326,-1.0609001488926455,0.8710042466019591,-0.10797703168802328,-0.11058810354387595,0.7697788728052137,0.1893826733048602,0.3616482603614824,0.2931123312711481,-0.33987385758693345,0.04797971346076876,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,1,1,0.0,0.0,1,1,0,1.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,174000,318
-0.07864410289348696,-0.6909335607252274,-0.23024266611095967,-1.6529586298651848,-0.9761413325783859,-1.2018742933257818,0.5683394103120528,0.6185859203112388,2.207728229656243,-0.565901341922578,-0.9587974927005453,-0.29065321142560613,0.2439762045297094,-0.8480955947292582,-0.841397330816605,0.6689210326933911,-0.10797703168802328,-0.10858940594982147,0.7697788728052137,0.1893826733048602,-0.27944126600100755,0.2931123312711481,0.048866724649367005,-0.7301209610710309,0.17148257985784904,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,0,0,0.0,0.0,0,1,0,1.0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,138500,255
-0.07864410289348696,1.0102726013965506,-0.23024266611095967,-0.5435940520335439,1.2379210098250086,0.8730787164479374,3.0122194560646642,0.953410411829335,0.39650799004626136,-0.565901341922578,-0.42310171429846777,4.032554630837949,-0.02349100951026502,1.0216313073860877,1.8254357577624172,-0.7738591224212686,-0.10797703168802328,0.7768336282163093,0.7697788728052137,-1.0206605134498685,-0.27944126600100755,0.2931123312711481,0.4838859476280842,-0.7301209610710309,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,0,1,0.0,0.0,0,1,1,1.0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,138
-0.07864410289348696,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,-0.9761413325783859,-0.16439778843892222,-1.5200671742401786,-0.9479832557769736,-0.5091021297587294,-0.09540001710920755,0.22754093153401508,-0.29065321142560613,-1.275417381109137,-1.1348908032582472,-0.23334929453699826,-0.7738591224212686,-0.10797703168802328,-0.8541036085321393,0.7697788728052137,-1.0206605134498685,-0.9205307923634976,0.2931123312711481,0.23860915169327557,-0.7301209610710309,-0.05330061440404812,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,1,1,1.0,0.0,1,0,0,4.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,140000,2827
-0.7799443421741051,-0.6909335607252274,-0.23024266611095967,-0.5435940520335439,-0.9761413325783859,-2.2393507982126413,-1.001668376656292,0.31076101118405686,-0.5091021297587294,0.4669064442531132,1.2100113267410644,-0.29065321142560613,-0.8528641353989252,0.2901923647036278,0.05932112956438922,-0.7738591224212686,-0.10797703168802328,-0.6222546876218206,-1.0512320477524484,0.1893826733048602,-0.27944126600100755,0.2931123312711481,0.2663763361387256,-0.7301209610710309,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,0,0,1.0,0.0,0,1,0,1.0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,142000,145
-0.7799443421741051,-0.6909335607252274,-0.23024266611095967,-0.5435940520335439,-0.9761413325783859,-1.2018742933257818,-0.48326957907240436,0.8482307199878063,-0.5091021297587294,-0.565901341922578,-0.32550531742359534,-0.29065321142560613,0.1450807640443407,-0.2967373643789541,-0.6067563873560099,-0.7738591224212686,-0.10797703168802328,-1.149910852452201,-1.0512320477524484,-1.0206605134498685,-0.27944126600100755,-1.0137863457660792,-0.2473165761021,-0.7301209610710309,4.142652345151365,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,0.6078030579058187,0,0,0.0,0.0,0,0,0,1.0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,112500,1942
-0.7799443421741051,-0.6909335607252274,-0.23024266611095967,0.5657705257980968,0.6844054242241598,-1.2018742933257818,0.035129218511483075,0.2285754691809442,-0.5091021297587294,0.5357602966648259,0.45092823993650083,-0.29065321142560613,-0.39884415862518713,-0.03884399856994083,-0.3140859632546224,1.6699378829846698,-0.10797703168802328,1.1605835662747679,-1.0512320477524484,2.6094690468143176,1.6438273130864625,0.2931123312711481,0.14142400613420045,1.8765162986104977,-0.7126646509056132,-0.3772642570941544,-0.10273842098272254,-0.28785557676487733,-0.06348005083768206,-0.08996768869403445,0,0,0.0,1.0,0,0,2,3.0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,135000,1956
